Hotel Id,HOTEL_NAME,LANDMARK,RATING,TOTAL REVIEWERS,PRICE PER NIGHT,Address Id
htl115,Le Méridien New Orleans,0.3 miles to City center,4,"1,143 reviews",103,adr115
htl116,"The Ritz-Carlton, New Orleans",0.4 miles to City center,4.5,"3,496 reviews",299,adr116
htl117,Courtyard by Marriott New Orleans French Quarter/Iberville,0.4 miles to City center,4.5,"1,316 reviews",109,adr117
htl118,The Wildwood Hotel,24 miles to City center,4,545 reviews,88,adr118
htl119,Holiday Inn St. Louis - Forest Park,5.3 miles to City center,3.5,235 reviews,112,adr119
htl120,Courtyard by Marriott St. Louis Downtown/Convention Center,0.1 miles to City center,4.5,186 reviews,,adr120
htl121,Red Lion Hotel St Louis City Center,0.8 miles to City center,3,"1,291 reviews",89,adr121
htl122,HoteLumiere at the Arch,0.4 miles to City center,3,147 reviews,129,adr122
htl123,Missouri Athletic Club,0.2 miles to City center,3.5,198 reviews,107,adr123
htl124,Holiday Inn St. Louis Arpt West-Earth City,17 miles to City center,4,170 reviews,94,adr124
htl125,Holiday Inn Express Troy,17 miles to City center,4.5,72 reviews,,adr125
htl126,Drury Plaza Hotel St. Louis at the Arch,0.4 miles to City center,4.5,"2,062 reviews",150,adr126
htl127,"Villas At Poco Diablo, a VRI Resort",1.9 miles to City center,4,83 reviews,155,adr127
htl128,Courtyard by Marriott Sedona,3.8 miles to City center,4.5,360 reviews,212,adr128
htl129,Baby Quail Inn,1.5 miles to City center,4.5,336 reviews,,adr129
htl130,Sedona Summit Resort by Diamond Resorts,4.0 miles to City center,4,"2,007 reviews",119,adr130
htl131,Cedars Resort,0.3 miles to City center,4,272 reviews,129,adr131
htl132,Los Abrigados Resort And Spa by Diamond Resorts,0.5 miles to City center,3.5,"1,256 reviews",109,adr132
htl133,Best Western Plus Inn of Sedona,1.2 miles to City center,4.5,"3,455 reviews",171,adr133
htl134,Amara Resort and Spa,0.1 miles to City center,4.5,"1,370 reviews",319,adr134
htl135,Sky Ranch Lodge,2.0 miles to City center,4,"1,523 reviews",165,adr135
htl136,Hotel LaCroix Waikiki,0.5 miles to City center,4.5,566 reviews,95,adr136
htl137,"Aulani, Disney Vacation Club Villas",20 miles to City center,4.5,"6,239 reviews",656,adr137
htl138,Hyatt Regency Waikiki Beach Resort & Spa,0.2 miles to City center,4,"6,415 reviews",,adr138
htl139,Hilton Hawaiian Village Waikiki Beach Resort,0.7 miles to City center,4,"17,450 reviews",202,adr139
htl140,Hilton Waikiki Beach,0.3 miles to City center,4,"5,183 reviews",179,adr140
htl141,Outrigger Reef Waikiki Beach Resort,0.3 miles to City center,4.5,"6,623 reviews",179,adr141
htl142,Embassy Suites by Hilton Waikiki Beach Walk,0.3 miles to City center,4.5,"4,124 reviews",280,adr142
htl143,The Grand Islander by Hilton Grand Vacations,0.7 miles to City center,4,632 reviews,350,adr143
htl144,Hyatt Place Waikiki Beach,0.4 miles to City center,4.5,"3,926 reviews",161,adr144
htl145,"Country Inn & Suites by Radisson, Portland International Airport, OR",6.2 miles to City center,4,"1,450 reviews",115,adr145
htl146,Red Lion Hotel on the River - Jantzen Beach,6.6 miles to City center,4,"1,388 reviews",116,adr146
htl147,Hotel Eastlund,1.4 miles to City center,4.5,604 reviews,,adr147
htl148,Hotel deLuxe,0.4 miles to City center,4.5,"3,014 reviews",149,adr148
htl149,Park Lane Suites and Inn,0.8 miles to City center,4,834 reviews,110,adr149
htl150,The Heathman Hotel,0.1 miles to City center,4.5,97 reviews,161,adr150
htl151,Crowne Plaza Portland-Lake Oswego,7.4 miles to City center,4,106 reviews,,adr151
htl152,Red Lion Hotel Portland Airport,6.3 miles to City center,3.5,779 reviews,111,adr152
htl153,McMenamins Crystal Hotel,0.4 miles to City center,4,324 reviews,105,adr153
htl154,Holiday Inn and Suites Nashville Dtwn - Conv Ctr,0.7 miles to City center,3.5,6 reviews,248,adr154
htl155,The Westin Nashville,0.6 miles to City center,4.5,"1,887 reviews",325,adr155
htl156,Omni Nashville Hotel,0.5 miles to City center,4.5,"6,955 reviews",,adr156
htl157,Wingate by Wyndham Nashville Airport,5.6 miles to City center,4.5,55 reviews,101,adr157
htl158,Hilton Garden Inn Nashville Downtown/Convention Center,0.7 miles to City center,4.5,905 reviews,170,adr158
htl159,Clarion Hotel Nashville Downtown - Stadium,0.9 miles to City center,4.5,"1,550 reviews",172,adr159
htl160,Brentwood Suites,9.0 miles to City center,4,290 reviews,108,adr160
htl161,Holiday Inn Nashville - Vanderbilt - Dwtn,2.0 miles to City center,4.5,867 reviews,162,adr161
htl162,Hotel Indigo Nashville,0.3 miles to City center,4.5,"1,518 reviews",240,adr162
htl163,InterContinental Stephen F. Austin,0.1 miles to City center,4.5,"1,488 reviews",170,adr163
htl164,La Quinta Inn by Wyndham Austin North,5.5 miles to City center,4,581 reviews,,adr164
htl165,Omni Austin Hotel,0.2 miles to City center,4,"3,301 reviews",,adr165
htl166,Crowne Plaza Austin,4.4 miles to City center,4,"1,478 reviews",,adr166
htl167,La Quinta by Wyndham Austin Airport,4.6 miles to City center,4,511 reviews,,adr167
htl168,Holiday Inn Austin Airport,4.4 miles to City center,5,814 reviews,122,adr168
htl169,Omni Barton Creek Resort & Spa,7.1 miles to City center,4,"2,201 reviews",191,adr169
htl170,Wyndham Garden Hotel Austin,3.1 miles to City center,4,"1,751 reviews",107,adr170
htl171,Aloft Austin Downtown,0.1 miles to City center,4.5,239 reviews,179,adr171
htl172,"Magnolia Bluffs Casino Hotel, BW Premier Collection",4.7 miles to City center,4.5,316 reviews,,adr172
htl173,Holiday Inn Express Hotel & Suites Natchez South,4.7 miles to City center,4,222 reviews,127,adr173
htl174,Dunleith Historic Inn,4.0 miles to City center,4.5,292 reviews,,adr174
htl175,Natchez Grand Hotel,4.6 miles to City center,4,813 reviews,89,adr175
htl176,"Hotel Vue, an Ascend Hotel Collection Member",5.0 miles to City center,4,449 reviews,91,adr176
htl177,Days Inn by Wyndham Natchez,3.5 miles to City center,3,801 reviews,72,adr177
htl178,Red Carpet Inn,2.5 miles to City center,3,83 reviews,,adr178
htl179,Inlet Tower Hotel And Suites,0.6 miles to City center,3,642 reviews,78,adr179
htl180,Inlet Tower Hotel And Suites,0.6 miles to City center,3,642 reviews,78,adr180
htl181,SpringHill Suites Anchorage University Lake,3.6 miles to City center,4.5,510 reviews,,adr181
htl182,La Quinta by Wyndham Anchorage Airport,2.1 miles to City center,4.5,191 reviews,,adr182
htl183,Aviator Hotel Anchorage,0.2 miles to City center,3,199 reviews,89,adr183
htl184,The Lakefront Anchorage,3.2 miles to City center,4,945 reviews,152,adr184
htl185,Extended Stay America - Anchorage - Midtown,2.1 miles to City center,2.5,130 reviews,,adr185
htl186,Extended Stay America - Anchorage - Downtown,0.4 miles to City center,2.5,136 reviews,,adr186
htl187,Aptel Studio Hotel,2.6 miles to City center,3.5,51 reviews,84,adr187
htl188,Holiday Inn Resort Bar Harbor - Acadia Natl Park,0.9 miles to City center,3.5,"1,409 reviews",,adr188
htl189,Bar Harbor Motel,1.1 miles to City center,4.5,"1,924 reviews",,adr189
htl190,Castlemaine Inn,0.4 miles to City center,4.5,329 reviews,,adr190
htl191,Atlantic Oceanside Hotel & Conference Center,1.0 mile to City center,4,"1,376 reviews",,adr191
htl192,Highbrook Motel,0.9 miles to City center,5,"1,007 reviews",,adr192
htl193,The Bluenose Inn,0.8 miles to City center,4.5,"1,085 reviews",139,adr193
htl194,Best Western Acadia Park Inn,4.5 miles to City center,4.5,"1,501 reviews",,adr194
htl195,Hotel Kabuki - a Joie de Vivre Boutique Hotel,1.1 miles to City center,4,"2,522 reviews",224,adr195
htl196,Harbor Court Hotel,0.9 miles to City center,4.5,"1,757 reviews",470,adr196
htl197,Pier 2620 Hotel Fisherman's Wharf,1.3 miles to City center,4,"2,226 reviews",,adr197
htl198,Hotel VIA,1.1 miles to City center,4.5,145 reviews,309,adr198
htl199,Warwick San Francisco,0.2 miles to City center,4,702 reviews,188,adr199
htl200,The Opal San Francisco,0.7 miles to City center,3.5,"1,218 reviews",149,adr200
htl201,"Hotel Fusion, a C-Two Hotel",0.1 miles to City center,3.5,"1,393 reviews",231,adr201
htl202,InterContinental Mark Hopkins,0.3 miles to City center,4,"2,834 reviews",350,adr202
htl203,Executive Hotel Vintage Court,0.2 miles to City center,3.5,"1,286 reviews",186,adr203
htl204,Hotel Contessa - Luxury Suites on the Riverwalk,0.2 miles to City center,4.5,"3,672 reviews",175,adr204
htl205,Residence Inn By Marriott San Antonio Airport/Alamo Heights,6.6 miles to City center,4,38 reviews,118,adr205
htl206,Hyatt Place San Antonio–North/Stone Oak,13 miles to City center,4.5,711 reviews,,adr206
htl207,La Quinta by Wyndham San Antonio Downtown,0.6 miles to City center,4,"1,019 reviews",,adr207
htl208,Hotel Emma,1.5 miles to City center,5,"3,093 reviews",276,adr208
htl209,Hyatt Regency San Antonio Riverwalk,0.1 miles to City center,4.5,"3,931 reviews",135,adr209
htl210,La Cantera Resort & Spa,15 miles to City center,4.5,"4,502 reviews",,adr210
htl211,Courtyard by Marriott San Antonio Airport,6.8 miles to City center,4,212 reviews,89,adr211
htl212,La Quinta by Wyndham San Antonio Airport,6.6 miles to City center,4,940 reviews,,adr212
htl213,Universal's Cabana Bay Beach Resort,7.5 miles to City center,4.5,"19,279 reviews",169,adr213
htl214,Adora Inn,24 miles to Orlando,5,558 reviews,169,adr214
htl215,Mount Dora Cottages,24 miles to Orlando,5,308 reviews,,adr215
htl216,Lakeside Inn,24 miles to Orlando,3.5,"1,099 reviews",139,adr216
htl217,Best Western Plus Sanford Airport/Lake Mary Hotel,17 miles to Orlando,3.5,106 reviews,121,adr217
htl218,Budget Inn Sanford,17 miles to Orlando,3,206 reviews,67,adr218
htl219,Holiday Inn Orlando - Disney Springs® Area,14 miles to City center,4.5,"4,103 reviews",111,adr219
htl220,Universal's Loews Sapphire Falls Resort,7.5 miles to City center,4.5,"4,276 reviews",224,adr220
htl221,La Quinta by Wyndham Orlando Lake Mary,15 miles to Orlando,4,"1,013 reviews",,adr221
htl222,Extended Stay America-Orlando-Lake Mary-1036 Greenwood Blvd,15 miles to Orlando,4,294 reviews,72,adr222
htl223,Mount Dora Historic Inn,24 miles to Orlando,5,308 reviews,,adr223
htl224,Grandview Bed and Breakfast Mount Dora,24 miles to Orlando,5,455 reviews,167,adr224
htl225,Extended Stay America -Orlando-Lake Mary-1040 Greenwood Blvd,15 miles to Orlando,4,118 reviews,81,adr225
htl226,Park Place Inn and Cottages,19 miles to Orlando,3,2 reviews,125,adr226
htl227,Lakeside Inn and Cafe,24 miles to Orlando,4.5,83 reviews,89,adr227
